76.00,1.00,6.00,6.11,186.86,138.07,0.00,0.00,0.00,
77.00,1.00,21.00,3.73,157.62,139.66,0.00,0.00,0.00,
78.00,3.00,74.00,NaN,NaN,141.34,0.00,0.00,0.00,
79.00,1.00,10.00,4.53,88.19,142.93,0.00,0.00,0.00,
80.00,1.00,26.00,6.35,117.32,144.46,0.00,0.00,0.00,
81.00,1.00,29.00,5.14,118.98,146.11,0.00,0.00,0.00,
82.00,1.00,25.00,4.11,72.74,148.38,0.00,0.00,0.00,
83.00,1.00,15.00,6.44,120.62,149.96,0.00,0.00,0.00,
84.00,1.00,23.00,3.39,73.93,151.70,0.00,0.00,0.00,
85.00,1.00,13.00,5.73,136.83,153.36,0.00,0.00,0.00,
86.00,3.00,69.00,NaN,NaN,155.09,0.00,0.00,0.00,
87.00,3.00,67.00,NaN,NaN,156.73,0.00,0.00,0.00,
88.00,3.00,82.00,NaN,NaN,158.43,0.00,0.00,0.00,
89.00,3.00,85.00,NaN,NaN,160.09,0.00,0.00,0.00,
90.00,3.00,83.00,NaN,NaN,161.68,0.00,0.00,0.00,
91.00,3.00,70.00,NaN,NaN,163.25,0.00,0.00,0.00,
92.00,2.00,44.00,5.19,128.40,164.96,0.00,0.00,0.00,
93.00,2.00,42.00,4.91,185.33,166.50,0.00,0.00,0.00,
94.00,2.00,63.00,3.42,89.52,168.02,0.00,0.00,0.00,
95.00,2.00,43.00,6.38,190.00,169.70,0.00,0.00,0.00,
96.00,2.00,52.00,5.44,154.60,172.38,0.00,0.00,0.00,
