1	2	5	1	0.55357
2	1	6.5536	1	0.66071
3	2	8.2143	1	0.66071
4	3	9.875	1	0.71429
5	3	11.589	1	0.78571
6	3	13.375	1	0.64286
7	3	15.018	1	0.51786
8	1	16.536	1	0.66071
9	3	18.196	1	1.9643
10	1	21.161	1	0.75
11	2	22.911	1	0.5
12	2	24.411	1	0.5
13	2	25.911	1	0.51786
14	2	27.429	1	0.75
15	2	29.179	1	0.73214
16	1	30.911	1	0.625
17	1	32.536	1	0.58929
18	1	34.125	1	1.4643
19	3	36.589	1	0.51786
20	3	38.107	1	0.73214
21	3	39.839	1	0.71429
22	3	41.554	1	1.5357
23	2	44.089	1	1.4643
24	2	46.554	1	0.67857
25	2	48.232	1	0.5
26	2	49.732	1	0.57143
27	1	51.304	1	0.64286
28	1	52.946	1	0.66071
29	1	54.607	1	0.51786
30	1	56.125	1	0.60714
31	1	57.732	1	0.67857
32	1	59.411	1	0.71429
33	1	61.125	1	1.7679
34	3	63.893	1	0.75
35	3	65.643	1	0.75
36	3	67.393	1	0.58929
37	3	68.982	1	0.625
38	3	70.607	1	0.53571
39	3	72.143	1	0.55357
40	3	73.696	1	0.69643
41	3	75.393	1	0.53571
42	3	76.929	1	0.73214
43	2	78.661	1	0.5
44	2	80.161	1	0.60714
45	2	81.768	1	0.64286
46	2	83.411	1	0.57143
47	2	84.982	1	0.71429
48	1	86.696	1	0.625
49	1	88.321	1	0.75
50	1	90.071	1	0.60714
51	1	91.679	1	2.2321
52	3	94.911	1	0.5
53	3	96.411	1	1.0357
54	3	98.446	1	0.51786
55	3	99.964	1	0.67857
56	3	101.64	1	0.60714
57	2	103.25	1	0.58929
58	2	104.84	1	0.64286
59	2	106.48	1	0.53571
60	2	108.02	1	0.64286
61	2	109.66	1	1.8036
62	2	112.46	1	0.64286
63	1	114.11	1	0.5
64	1	115.61	1	0.73214
65	1	117.34	1	0.64286
66	1	118.98	1	0.83929
67	1	120.82	1	1.625
68	1	123.45	1	0.67857
69	3	125.13	1	0.53571
70	3	126.66	1	2.125
71	2	129.79	1	0.51786
72	2	131.3	1	1.4286
73	2	133.73	1	0.53571
74	2	135.27	1	0.64286
75	2	136.91	1	0.69643
76	1	138.61	1	0.5
77	1	140.11	1	0.75
78	3	141.86	1	0.60714
79	1	143.46	1	0.53571
80	1	145	1	0.64286
81	1	146.64	1	0.53571
82	1	148.18	1	0.66071
83	1	149.84	1	0.75
84	1	151.59	1	0.57143
85	1	153.16	1	0.55357
86	3	154.71	1	0.66071
87	3	156.38	1	0.57143
88	3	157.95	1	0.60714
89	3	159.55	1	0.53571
90	3	161.09	1	0.67857
91	3	162.77	1	0.57143
92	2	164.34	1	0.55357
93	2	165.89	1	0.69643
94	2	167.59	1	0.60714
95	2	169.2	1	0.5
96	2	170.7	1	5
